trial,ambient_n,live_k,fixed_count,program_slots,program_ops,full_raw_us,bind_hit_us,prebound_eval_us,prekey_lookup_us,key_sort_hash_us,cm_wrapper_us,full_minus_prebound_us
84,24,5,19,10,5,7.0746665975699825,4.118666984140873,1.3813333741078775,0.6359997981538376,3.297000269715985,7.898999998966852,5.693333223462105
84,32,5,27,10,5,7.024333269024888,5.958333301047484,1.2436668233325083,0.7350001639376084,3.747999823341767,7.430999927843611,5.78066644569238
85,24,5,19,12,6,8.812333301951488,4.628999934842189,3.0750001315027475,0.8846668060868979,3.4523336216807365,8.120000129565597,5.737333170448741
85,32,5,27,12,6,8.238333587845167,4.321666589627664,2.1643335154900947,0.775666752209266,4.231333344553907,6.5830000676214695,6.074000072355073
86,24,2,22,5,3,6.863666543116172,3.398666546369592,1.3333333966632683,1.0456668678671122,3.562333295121789,4.173333290964365,5.530333146452904
86,32,2,30,5,3,6.418666647126277,4.950000050788124,0.8366668286422888,0.7026665844023228,4.82966696533064,4.41233355862399,5.581999818483988
87,24,5,19,11,6,6.016666690508524,3.333999775350094,1.537333397815625,0.5049999648084244,2.483666564027468,6.025000087295969,4.479333292692899
87,32,5,27,11,6,8.801666554063559,5.9369998052716255,1.6966667802383502,0.6296668046464523,5.139333661645651,6.136000156402588,7.104999773825209
88,24,9,15,22,13,10.836666527514657,3.076333474988739,6.222333371018371,0.8653333255400261,3.066000062972307,14.814333602165181,4.614333156496286
88,32,9,23,22,13,19.14566654401521,4.590666697671016,6.5746666708340245,0.6303334763894479,5.336333221445481,14.811666527142128,12.570999873181187
89,24,3,21,6,3,12.846333362782994,6.685333404069145,1.268333677823345,1.1553335934877396,6.459999907140931,12.151666451245546,11.57799968495965
89,32,3,29,6,3,13.918666712318856,9.014999959617853,1.3899997187157471,1.469999939824144,9.561666520312428,10.128333233296871,12.528666993603109
90,24,5,19,11,6,13.013666806121666,5.51633342790107,3.0923335968206325,1.0193333340187867,5.438333222021659,14.592333075900871,9.921333209301034
90,32,5,27,11,6,14.181000102932254,10.301000050579509,3.309666644781828,1.7139998575051627,8.68633311862747,15.260666841641068,10.871333458150426
91,24,6,18,12,6,12.67366693355143,6.746333480502168,5.653999978676438,1.038333090643088,6.87299994751811,16.49566654426356,7.019666954874992
91,32,6,26,12,6,14.227333012968302,6.902666840081413,4.087000076348582,1.2626669680078826,6.096333187694351,14.512666578715047,10.14033293661972
92,24,8,16,16,8,5.609333359946807,2.5570000677059093,2.3023334021369615,0.4579999949783087,1.8406667125721772,7.6090001190702115,3.3069999578098455
92,32,8,24,16,8,8.713999995961785,4.842000004524986,3.2229997062434754,0.7846668207397064,3.6336663955201702,7.2293332777917385,5.4910002897183094
93,24,3,21,8,5,7.215000223368406,3.13000016224881,1.0016669208804767,0.5263334605842829,3.100666605557005,7.548000042637189,6.213333302487929
93,32,3,29,8,5,6.513666594401002,4.745333377892773,1.556333542490999,1.1493335478007793,4.701333042855064,6.397999823093414,4.957333051910003
94,24,5,19,12,6,6.138333507503072,2.93066647524635,2.8929999098181725,0.8416664786636829,3.4120003692805767,7.629666555052003,3.2453335976848994
94,32,5,27,12,6,9.016666638975341,5.539333214983344,3.32099967636168,0.9589999293287594,3.9823333888004218,8.023333114882309,5.695666962613661
