n,depth,trial,live_k,declined,ok,cm_us,bitset_us,ratio,output_k
24,4,280,6,False,True,3.3258111216127872,3.066409844905138,1.0845944573060402,6
24,4,281,3,False,True,2.666756045073271,3.7085101939737797,0.719090930208759,3
24,4,282,3,False,True,2.8348062187433243,3.4556607715785503,0.8203369503333456,3
24,4,283,7,False,True,3.476461861282587,3.0020601116120815,1.1580253999030539,7
24,4,284,4,False,True,3.012509550899267,3.2585556618869305,0.9244922792433794,4
24,4,285,9,False,True,4.447214305400848,4.036461468786001,1.1017606237025184,9
24,4,286,1,False,True,2.1395040675997734,2.8337561525404453,0.7550064128424462,1
24,4,287,5,False,True,3.0900095589458942,3.579410258680582,0.8632733706487483,5
24,4,288,9,False,True,4.612964112311602,4.033560398966074,1.1436457263647388,9
24,4,289,7,False,True,4.386459477245808,4.034161102026701,1.0873287819472846,7
24,4,290,3,False,True,3.0437111854553223,3.1613558530807495,0.9627866418420494,3
24,4,291,6,False,True,3.71451023966074,3.4773582592606544,1.068198892009047,6
24,4,292,5,False,True,3.409010823816061,3.701259847730398,0.9210406629262889,5
24,4,293,4,False,True,3.1697540543973446,3.3579091541469097,0.9439665901868728,4
24,4,294,4,False,True,3.041608724743128,3.4042098559439182,0.8934844952147498,4
24,4,295,5,False,True,3.2584602013230324,3.3476599492132664,0.9733545971683304,5
24,4,296,8,False,True,3.9389613084495068,3.460361622273922,1.1383091533251604,8
24,4,297,9,False,True,3.879410214722156,3.382810391485691,1.1468009630354612,9
24,4,298,5,False,True,3.068509977310896,3.1644105911254883,0.9696940042851762,5
24,4,299,5,False,True,3.5293609835207462,3.6035594530403614,0.9794096724401167,5
24,5,0,7,False,True,3.9861630648374553,4.133561160415411,0.9643411359218542,7
24,5,1,2,False,True,2.1871551871299744,2.7609593234956264,0.7921721875861744,2
24,5,2,8,False,True,4.3837097473442554,4.011665005236864,1.0927407302508363,8
24,5,3,14,False,True,22.29786477982998,21.595810540020466,1.032508816397907,14
24,5,4,10,False,True,6.537069566547871,6.273468025028706,1.0420184721540777,10
24,5,5,6,False,True,3.9582094177603726,3.745914436876774,1.056673740006887,6
24,5,6,10,False,True,5.188265349715948,4.257310647517443,1.2186720160393678,10
24,5,7,2,False,True,2.600960433483124,3.0758604407310486,0.8456041760025191,2
24,5,8,8,False,True,4.307760391384363,3.759111277759075,1.1459518149599326,8
24,5,9,7,False,True,4.166613798588514,4.208015743643045,0.9901611715409867,7
24,5,10,2,False,True,2.412560861557722,2.926455345004797,0.824396950281764,2
24,5,11,6,False,True,3.726561553776264,3.5053095780313015,1.0631190971352735,6
24,5,12,12,False,True,9.121024049818516,8.77472572028637,1.0394654306665718,12
24,5,13,8,False,True,3.3841608092188835,3.367708995938301,1.0048851647515935,8
24,5,14,6,False,True,3.8251094520092015,3.5570096224546432,1.0753722531033094,6
24,5,15,15,False,True,28.356078546494246,27.026173193007708,1.0492080526528489,15
24,5,16,2,False,True,2.455704379826784,3.0138599686324596,0.8148037418410853,2
24,5,17,9,False,True,4.202858544886112,3.6924099549651146,1.1382426643159185,9
24,5,18,9,False,True,4.881916102021933,5.4397666826844215,0.897449539069716,9
24,5,19,11,False,True,7.853773422539233,7.2371214628219604,1.0852067998146908,11
24,5,20,7,False,True,4.156059585511684,3.8331141695380206,1.0842514471758053,7
24,5,21,10,False,True,5.154167301952839,4.307259805500507,1.1966232673893513,10
24,5,22,6,False,True,3.8640643469989295,3.6959093995392323,1.0454975837558846,6
24,5,23,10,False,True,5.567064508795738,4.8866658471524715,1.139235765842214,10
24,5,24,8,False,True,4.195158835500479,3.9273104630410667,1.0682014765524819,8
24,5,25,5,False,True,2.9066111892461777,3.1201611272990704,0.9315580416073738,5
24,5,26,3,False,True,3.2150116749107838,3.147060051560402,1.0215920961904394,3
24,5,27,11,False,True,4.33226116001606,4.547215066850185,0.9527284494632399,11
24,5,28,9,False,True,4.416857846081257,5.43276546522975,0.81300359353806,9
24,5,29,11,False,True,5.7425652630627155,5.3081149235367775,1.0818464456373271,11
24,5,30,8,False,True,4.477959591895342,4.081015940755606,1.0972658908718307,8
24,5,31,7,False,True,4.369460511952639,4.08730935305357,1.0690310261659735,7
24,5,32,5,False,True,3.407360054552555,3.3021043054759502,1.0318753556336961,5
24,5,33,11,False,True,6.473415996879339,5.713414866477251,1.1330204699226902,11
24,5,34,3,False,True,2.982055302709341,3.2298103906214237,0.9232911354079786,3
24,5,35,10,False,True,6.141865160316229,5.334864836186171,1.1512691228194214,10
24,5,36,2,False,True,2.2332067601382732,3.12041025608778,0.7156772914014711,2
24,5,37,11,False,True,6.809069309383631,5.908515304327011,1.1524162938864038,11
24,5,38,6,False,True,3.9607658982276917,3.639860078692436,1.0881643284624656,6
